slug,note_title,note_year,note_director,matched_title,matched_year,matched_director,imdb,source_px,file
inception-2010,Inception,2010,Christopher Nolan,Inception,2010,Christopher Nolan,tt1375666,700x1037,inception-2010.jpg
there-will-be-blood-2007,There Will Be Blood,2007,Paul Thomas Anderson,There Will Be Blood,2007,Paul Thomas Anderson,tt0469494,510x755,there-will-be-blood-2007.jpg
spider-man-across-the-spider-verse-2023,Spider-Man: Across the Spider-Verse,2023,"Joaquim Dos Santos, Kemp Powers & Justin K. Thompson",Spider-Man: Across the Spider-Verse,2023,"Joaquim Dos Santos, Kemp Powers, Justin K. Thompson",tt9362722,1299x1929,spider-man-across-the-spider-verse-2023.jpg
knives-out-2019,Knives Out,2019,Rian Johnson,Knives Out,2019,Rian Johnson,tt8946378,1944x2880,knives-out-2019.jpg
mollys-game-2017,Molly's Game,2017,Aaron Sorkin,Molly's Game,2017,Aaron Sorkin,tt4209788,2764x4096,mollys-game-2017.jpg
arrival-2016,Arrival,2016,Denis Villeneuve,Arrival,2016,Denis Villeneuve,tt2543164,1311x2048,arrival-2016.jpg
la-la-land-2016,La La Land,2016,Damien Chazelle,La La Land,2016,Damien Chazelle,tt3783958,4050x6000,la-la-land-2016.jpg
interstellar-2014,Interstellar,2014,Christopher Nolan,Interstellar,2014,Christopher Nolan,tt0816692,2430x3600,interstellar-2014.jpg
moneyball-2011,Moneyball,2011,Bennett Miller,Moneyball,2011,Bennett Miller,tt1210166,1383x2048,moneyball-2011.jpg
the-dark-knight-2008,The Dark Knight,2008,Christopher Nolan,The Dark Knight,2008,Christopher Nolan,tt0468569,1383x2048,the-dark-knight-2008.jpg
the-prestige-2006,The Prestige,2006,Christopher Nolan,The Prestige,2006,Christopher Nolan,tt0482571,1385x2048,the-prestige-2006.jpg
changing-lanes-2002,Changing Lanes,2002,Roger Michell,Changing Lanes,2002,Roger Michell,tt0264472,1010x1500,changing-lanes-2002.jpg
gladiator-2000,Gladiator,2000,Ridley Scott,Gladiator,2000,Ridley Scott,tt0172495,1755x2599,gladiator-2000.jpg
la-chimera-2023,La Chimera,2023,Alice Rohrwacher,La Chimera,2023,Alice Rohrwacher,tt14561712,1684x2384,la-chimera-2023.jpg
the-killer-2023,The Killer,2023,David Fincher,The Killer,2023,David Fincher,tt1136617,1013x1500,the-killer-2023.jpg
tenet-2020,Tenet,2020,Christopher Nolan,Tenet,2020,Christopher Nolan,tt6723592,2764x4096,tenet-2020.jpg
a-quiet-place-2018,A Quiet Place,2018,John Krasinski,A Quiet Place,2018,John Krasinski,tt6644200,1382x2048,a-quiet-place-2018.jpg
logan-lucky-2017,Logan Lucky,2017,Steven Soderbergh,Logan Lucky,2017,Steven Soderbergh,tt5439796,675x1000,logan-lucky-2017.jpg
the-founder-2016,The Founder,2016,John Lee Hancock,The Founder,2016,John Lee Hancock,tt4276820,1350x2000,the-founder-2016.jpg
the-man-from-u-n-c-l-e-2015,The Man from U.N.C.L.E.,2015,Guy Ritchie,The Man from U.N.C.L.E.,2015,Guy Ritchie,tt1638355,1984x2939,the-man-from-u-n-c-l-e-2015.jpg
edge-of-tomorrow-2014,Edge of Tomorrow,2014,Doug Liman,Edge of Tomorrow,2014,Doug Liman,tt1631867,1382x2048,edge-of-tomorrow-2014.jpg
the-incredibles-2004,The Incredibles,2004,Brad Bird,The Incredibles,2004,Brad Bird,tt0317705,1800x2666,the-incredibles-2004.jpg
oceans-eleven-2001,Ocean's Eleven,2001,Steven Soderbergh,Ocean's Eleven,2001,Steven Soderbergh,tt0240772,936x1386,oceans-eleven-2001.jpg
wake-up-dead-man-a-knives-out-mystery-2025,Wake Up Dead Man: A Knives Out Mystery,2025,Rian Johnson,Wake Up Dead Man,2025,Rian Johnson,tt14364480,1500x2222,wake-up-dead-man-a-knives-out-mystery-2025.jpg
trap-2024,Trap,2024,M. Night Shyamalan,Trap,2024,M. Night Shyamalan,tt26753003,2764x4096,trap-2024.jpg
mission-impossible-dead-reckoning-part-one-2023,Mission: Impossible – Dead Reckoning Part One,2023,Christopher McQuarrie,Mission: Impossible - Dead Reckoning Part One,2023,Christopher McQuarrie,tt9603212,2037x3000,mission-impossible-dead-reckoning-part-one-2023.jpg
jojo-rabbit-2019,Jojo Rabbit,2019,Taika Waititi,Jojo Rabbit,2019,Taika Waititi,tt2584384,1334x2000,jojo-rabbit-2019.jpg
the-lego-batman-movie-2017,The Lego Batman Movie,2017,Chris McKay,The Lego Batman Movie,2017,Chris McKay,tt4116284,1012x1500,the-lego-batman-movie-2017.jpg
10-cloverfield-lane-2016,10 Cloverfield Lane,2016,Dan Trachtenberg,10 Cloverfield Lane,2016,Dan Trachtenberg,tt1179933,831x1231,10-cloverfield-lane-2016.jpg
hunt-for-the-wilderpeople-2016,Hunt for the Wilderpeople,2016,Taika Waititi,Hunt for the Wilderpeople,2016,Taika Waititi,tt4698684,8100x12000,hunt-for-the-wilderpeople-2016.jpg
steve-jobs-2015,Steve Jobs,2015,Danny Boyle,Steve Jobs,2015,Danny Boyle,tt2080374,947x1500,steve-jobs-2015.jpg
penguins-of-madagascar-2014,Penguins of Madagascar,2014,Eric Darnell & Simon J. Smith,Penguins of Madagascar,2014,"Eric Darnell, Simon J. Smith",tt1911658,1382x2048,penguins-of-madagascar-2014.jpg
haywire-2011,Haywire,2011,Steven Soderbergh,Haywire,2011,Steven Soderbergh,tt1506999,1038x1500,haywire-2011.jpg
oceans-thirteen-2007,Ocean's Thirteen,2007,Steven Soderbergh,Ocean's Thirteen,2007,Steven Soderbergh,tt0496806,1384x2048,oceans-thirteen-2007.jpg
casino-royale-2006,Casino Royale,2006,Martin Campbell,Casino Royale,2006,Martin Campbell,tt0381061,1000x1487,casino-royale-2006.jpg
madagascar-2005,Madagascar,2005,Eric Darnell & Tom McGrath,Madagascar,2005,"Eric Darnell, Tom McGrath",tt0351283,960x1440,madagascar-2005.jpg
oceans-twelve-2004,Ocean's Twelve,2004,Steven Soderbergh,Ocean's Twelve,2004,Steven Soderbergh,tt0349903,800x1184,oceans-twelve-2004.jpg
primer-2004,Primer,2004,Shane Carruth,Primer,2004,Shane Carruth,tt0390384,1013x1500,primer-2004.jpg
the-terminal-2004,The Terminal,2004,Steven Spielberg,The Terminal,2004,Steven Spielberg,tt0362227,1511x2048,the-terminal-2004.jpg
